"idealista_id";"bedrooms";"bathrooms";"floor";"elevator";"terrace";"balcony";"garaje";"built_in_wardrobe";"air_conditioning";"swimming_pool";"green_zone";"price";"furnished";"equiped_kitchen";"street";"neighborhood";"district";"m2_builded";"m2_habitable"
"99910244";"4";"2";"Planta 2ª exterior";"N";"N";"Y";"N";"N";"Y";"N";"N";"950";"Y";"Y";"Avenida de Novelda, 3";"Barrio Altozano";"Distrito Campoamor-Carolinas-Altozano";"120";NULL
"99914708";"3";"2";"Planta 6ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"1300";"Y";"Y";"Calle Médico Pedro Orts, 2";"Barrio Paus";"Distrito San Blas-Pau";"110";" 95"
"99926525";"3";"2";"Planta 2ª exterior";"N";"Y";"N";"N";"N";"Y";"N";"N";"1300";"Y";"Y";"Calle Díaz Moreu";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"149";" 146"
"99926567";"3";"2";"Planta 2ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"1500";"Y";"Y";"Calle del Curricán s/n";"Barrio Cabo de las Huertas";"Distrito Playa de San Juan-El Cabo";"128";" 120"
"99946608";"2";"1";"Planta 1ª exterior";"Y";"N";"N";"Y";"Y";"Y";"Y";"Y";"950";"Y";"Y";"Avenida Costablanca";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"100";" 90"
"99966717";"2";"2";"Planta 2ª";"Y";"Y";"N";"N";"N";"Y";"N";"N";"1200";"N";"N";"Avenida General Marvá";"Barrio Ensanche-Diputación";"Distrito Centro";"130";" 110"
"99974955";"2";"2";"Planta 6ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"2000";"Y";"Y";"Maestro José Garberí Serrano 12, 03540, Alicante / Alacant Alicante, España, 12";"Barrio PAU 5";"Distrito Playa de San Juan-El Cabo";"91";NULL
"99983228";"3";"2";"Planta 4ª exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"1499";"Y";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"75";" 70"
"99988091";"0";"1";"Bajo exterior";"N";"Y";"Y";"N";"Y";"Y";"N";"N";"1300";"Y";"Y";"Calle de Juan de Herrera";"Barrio Mercado";"Distrito Centro";"86";NULL
"99997637";"4";"2";"Bajo exterior";"Y";"Y";"N";"N";"Y";"N";"N";"N";"1500";"N";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"140";" 130"
NULL;"4";"3";"Planta 7ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"N";"N";"1300";"Y";"Y";"Avenida Oscar Espla, 15";"Barrio Benalúa";"Distrito Benalúa-La Florida-Babel-San Gabriel";"210";" 185"
NULL;"2";"2";"Planta 6ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"Y";"Y";"2100";"Y";"Y";"Calle la Doblada, 7";"Barrio Cabo de las Huertas";"Distrito Playa de San Juan-El Cabo";"100";NULL
NULL;"4";"2";"Planta 1ª exterior";"Y";"N";"Y";"Y";"Y";"N";"N";"N";"1085";"N";"Y";NULL;"Barrio Ensanche-Diputación";"Distrito Centro";"120";" 90"
NULL;"4";"2";"Planta 1ª exterior";"Y";"N";"N";"Y";"Y";"N";"N";"N";"1085";"N";"Y";NULL;"Barrio Ensanche-Diputación";"Distrito Centro";"120";" 90"
NULL;"4";"2";"Planta 1ª exterior";"Y";"Y";"Y";"Y";"Y";"N";"N";"N";"1085";"N";"Y";"Calle Churruca";"Barrio Ensanche-Diputación";"Distrito Centro";"120";" 90"
NULL;"4";"2";"Planta 1ª exterior";"Y";"N";"Y";"Y";"Y";"Y";"N";"N";"1300";"Y";"Y";"Avenida General Marvá, 23";"Barrio Ensanche-Diputación";"Distrito Centro";"160";" 130"
NULL;"2";"1";"Planta 3ª exterior";"Y";"N";"N";"Y";"Y";"Y";"N";"N";"1000";"N";"Y";"Avenida Alfonso El Sabio, 24";"Barrio Mercado";"Distrito Centro";"70";" 60"
NULL;"1";"1";"Planta 3ª exterior";"Y";"N";"N";"Y";"Y";"Y";"N";"N";"1100";"N";"Y";"Avenida Alfonso El Sabio, 24";"Barrio Mercado";"Distrito Centro";"69";" 59"
NULL;"4";"2";"Planta 2ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"N";"N";"950";"Y";"Y";NULL;"Barrio Plà del Bon Repòs-La Goteta";"Distrito Plà del Bon Repòs-La Goteta-San Antón";"140";" 120"
NULL;"4";"2";"Planta 3ª exterior";"Y";"N";"N";"Y";"Y";"Y";"N";"N";"1520";"N";"Y";"Calle Paris, 2";"Barrio Ensanche-Diputación";"Distrito Centro";"155";" 135"
NULL;"4";"2";"Planta 1ª exterior";"Y";"N";"Y";"Y";"Y";"Y";"N";"N";"1630";"N";"Y";"Calle Alvarez Sereix";"Barrio Centro Tradicional";"Distrito Centro";"140";" 130"
NULL;"4";"2";"Planta 1ª exterior";"Y";"Y";"Y";"Y";"Y";"N";"N";"N";"1630";"N";"Y";"Calle Alvarez Sereix";"Barrio Centro Tradicional";"Distrito Centro";"140";NULL
NULL;"4";"2";"Planta 1ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"N";"N";"1630";"N";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"140";NULL
NULL;"4";"2";"Bajo exterior";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"1630";"N";"Y";NULL;"Barrio Centro Tradicional";"Distrito Centro";"140";" 130"
NULL;"3";"2";"Bajo exterior";"Y";"N";"N";"Y";"N";"Y";"N";"N";"750";"N";"Y";"Calle Angelina Bendito";"Barrio Babel";"Distrito Benalúa-La Florida-Babel-San Gabriel";"150";NULL
NULL;"1";"1";"Planta 12ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"N";"N";"750";"Y";"Y";"Avenida de Villajoyosa, 10";"Barrio La Albufereta";"Distrito Playa de San Juan-El Cabo";"46";" 38"
NULL;"2";"2";"Planta 1ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"1560";"Y";"Y";"Calle Alcalde José Luís Lassaletta";"Barrio Babel";"Distrito Benalúa-La Florida-Babel-San Gabriel";"138";" 125"
NULL;"4";"2";"Planta 4ª exterior";"Y";"N";"N";"Y";"N";"N";"N";"N";"1050";"Y";"Y";NULL;"Barrio Colonia Requena-Virgen del Carmen";"Distrito Virgen del Remedio-Juan XXIII";"137";" 135"
NULL;"2";"2";"Planta 1ª exterior";"Y";"Y";"N";"Y";"Y";"N";"Y";"N";"1460";"Y";"Y";"Calle Alcalde José Luís Lassaletta, 6";"Barrio Babel";"Distrito Benalúa-La Florida-Babel-San Gabriel";"138";" 118"
NULL;"3";"2";"Planta 3ª exterior";"Y";"N";"N";"Y";"Y";"Y";"N";"N";"1152";"N";"Y";NULL;"Barrio Ensanche-Diputación";"Distrito Centro";"117";" 99"
